TransID,CustID,TransTotal,TransNumItems,TransDesc
61,150,99.52,14,As opportunity factor.
62,239,56.29,7,Customer general human.
91,10,11.99,8,Perhaps could court.
110,84,41.59,12,Society account five rock.
151,194,96.49,12,Size color chance upon.
170,234,76.35,6,Although lose interest.
183,200,61.68,9,Improve expect speak church.
185,26,34.45,12,Mission allow across.
191,204,97.7,3,Green image Republican.
217,91,69.74,2,Actually ready central.
220,92,97.37,1,Together treatment language.
226,25,51.78,11,Director arrive ten.
254,166,82.84,4,Investment nearly hit.
272,92,86.18,4,Successful example build.
310,45,73.8,12,Condition four president chance.
340,242,96.89,15,Scene before detail.
350,129,98.82,1,Open suddenly month.
354,101,85.17,5,Another international usually.
376,23,41.92,1,Religious outside increase.
402,85,45.12,15,Majority she decision.
406,59,52.21,13,Well seven summer allow.
416,194,88.82,13,Structure discuss memory.
418,192,57.15,14,Civil practice option.
425,161,22.02,14,Few type reveal may.
471,41,34.55,13,Better them movement.
485,78,22.78,3,Want figure summer method.
517,35,61.1,2,Knowledge sometimes.
543,183,68.15,15,Street example save.
617,94,33.09,2,Population worker dog.
628,179,49.3,9,Appear clear trouble.
637,31,87.89,10,Seek wonder example.
650,209,99.02,1,Usually car standard.
673,70,29.63,7,Cell court anything.
730,228,80.5,8,Executive surface require.
734,27,20.26,15,Reflect explain color.
746,111,21.56,15,More management theory.
750,230,72.9,11,Hard drug actually apply.
760,128,37.16,11,Capital compare yard.
763,188,25.98,8,Standard job your approach.
775,102,86.35,4,Staff than already relate.
799,30,91.67,15,May society between.
823,47,17.17,10,Difficult mother region.
871,153,36.86,1,Sister continue next white.
880,211,98.61,9,Mouth everybody national.
938,19,34.83,14,Health environmental according.
947,41,31.63,14,Challenge space every art.
964,85,65.82,5,Pressure director than.
970,144,99.3,13,Quality reflect your.
979,38,57.13,13,Attention support move include.
981,218,84.44,3,Wife particularly physical.
1030,116,86.18,3,Candidate serve left.
1056,81,38.23,15,Then identify large.
1063,24,82.61,12,Mother subject black.
1083,166,42.69,15,Full recently provide task.
1101,3,62.23,13,Garden memory cover.
1119,39,65.36,12,Water ball collection.
1137,203,53.69,2,Sea investment crime.
1142,76,30.18,3,Across citizen oil produce.
1144,218,72.59,6,Idea wife defense firm.
1149,137,55.85,9,Himself cultural already line.
1179,31,29.17,12,Building always character.
1209,26,68.28,1,Page administration career.
1210,211,30.69,2,As affect table pressure.
1251,68,66.89,11,Explain ahead visit.
1317,248,26.59,15,Section real charge.
1325,78,20.13,6,Tell reflect can name.
1351,118,65.07,9,Exactly consumer race.
1359,171,21.85,13,Director management.
1385,162,53.1,3,Work start material.
1396,77,77.83,11,Industry raise cultural.
1417,17,99.41,14,Experience bill reason.
1437,149,58.24,11,Machine determine receive.
1463,7,74.23,7,Treatment consider too.
1480,14,62.44,13,Development hear collection.
1483,188,46.01,8,Especially bar modern.
1546,101,86.83,5,Difference section sport.
1549,155,34.55,5,Boy decision fine audience.
1552,118,44.36,1,Local general entire.
1553,119,83.64,6,Change family animal.
1563,167,86.62,11,Your election water.
1565,81,93.49,12,Rock Republican help.
1576,36,59.14,10,Idea government attack.
1582,151,60.82,10,Strategy over attorney career.
1587,149,74.87,12,Best idea scientist enjoy.
1657,43,64.43,15,Item individual decade.
1689,45,87.24,12,Add together military.
1719,138,49.64,12,Show foot lay response.
1735,63,77.22,12,Candidate others enough.
1741,106,50.11,12,Full soldier minute.
1822,223,10.49,2,Surface occur politics.
1847,235,35.86,5,Especially cold road.
1857,94,67.39,15,Building rest voice.
1877,240,16.42,5,Best defense medical.
1908,66,72.58,2,Second east special.
1919,192,53.28,13,Its of magazine garden.
1988,72,89.29,14,Else interest outside.
2005,117,90.88,6,Perform within near.
2006,95,86.19,10,Difficult its heavy.
2034,142,35.01,6,Reveal significant over.
2039,103,74.21,14,Government grow season ever.
2075,242,55.44,10,Land physical choose.
2119,73,61.62,15,High color put accept.
2129,149,34.01,6,Maintain move television.
2138,97,38.32,2,Not course reveal table.
2144,232,34.28,12,Challenge nearly forward.
2212,95,57.12,7,Impact responsibility available.
2243,238,56.05,2,Yes election decade.
